week,year,month,month_name,quarter,yearmonth,trx,qty,cust,revenue,avg_price,disc_share,disc_pct,aov,units_per_trx,rev_per_cust,rev_4w_ma,is_outlier
2022-12-26,2022,12,Dec,Q4,2022-12,17,17,16,4245000,690064,0.1176,11.8,249706.0,1.0,265312.0,4245000.0,Tidak
2023-01-02,2023,1,Jan,Q1,2023-01,270,276,265,94677530,391171,0.1556,15.6,350658.0,1.02,357274.0,49461265.0,Tidak
2023-01-09,2023,1,Jan,Q1,2023-01,193,208,188,58215910,216861,0.1554,15.5,301637.0,1.08,309659.0,52379480.0,Tidak
2023-01-16,2023,1,Jan,Q1,2023-01,311,339,280,99222409,410754,0.2637,26.4,319043.0,1.09,354366.0,64090212.0,Tidak
2023-01-23,2023,1,Jan,Q1,2023-01,360,380,323,82278010,191869,0.3056,30.6,228550.0,1.06,254731.0,83598465.0,Tidak
2023-01-30,2023,1,Jan,Q1,2023-01,405,436,358,100269160,267776,0.2765,27.6,247578.0,1.08,280081.0,84996372.0,Tidak
2023-02-06,2023,2,Feb,Q1,2023-02,366,383,312,87590670,359021,0.2623,26.2,239319.0,1.05,280739.0,92340062.0,Tidak
2023-02-13,2023,2,Feb,Q1,2023-02,340,472,305,145672530,244302,0.2176,21.8,428449.0,1.39,477615.0,103952592.0,Tidak
2023-02-20,2023,2,Feb,Q1,2023-02,244,262,213,66933780,274166,0.3238,32.4,274319.0,1.07,314243.0,100116535.0,Tidak
2023-02-27,2023,2,Feb,Q1,2023-02,361,422,327,101869510,229282,0.2133,21.3,282187.0,1.17,311528.0,100516622.0,Tidak
2023-03-06,2023,3,Mar,Q1,2023-03,332,365,291,92045960,364949,0.3404,34.0,277247.0,1.1,316309.0,101630445.0,Tidak
2023-03-13,2023,3,Mar,Q1,2023-03,322,338,293,78003020,243996,0.3665,36.6,242245.0,1.05,266222.0,84713068.0,Tidak
2023-03-20,2023,3,Mar,Q1,2023-03,274,312,234,74603640,219557,0.281,28.1,272276.0,1.14,318819.0,86630532.0,Tidak
2023-03-27,2023,3,Mar,Q1,2023-03,323,351,282,92909929,262083,0.3653,36.5,287647.0,1.09,329468.0,84390637.0,Tidak
