week,trx,qty,avg_price,disc_share,cust,revenue,year,month,month_name,quarter,yearmonth,aov,units_per_trx,rev_per_cust,disc_pct,rev_4w_ma,full_year
2022-12-26,17,17,690064,0.1176,16,4245000,2022,12,Dec,Q4,2022-12,249706.0,1.0,265312.0,11.8,4245000.0,False
2023-01-02,270,276,391171,0.1556,265,94677530,2023,1,Jan,Q1,2023-01,350658.0,1.02,357274.0,15.6,49461265.0,True
2023-01-09,193,208,216861,0.1554,188,58215910,2023,1,Jan,Q1,2023-01,301637.0,1.08,309659.0,15.5,52379480.0,True
2023-01-16,311,339,410754,0.2637,280,99222409,2023,1,Jan,Q1,2023-01,319043.0,1.09,354366.0,26.4,64090212.0,True
2023-01-23,360,380,191869,0.3056,323,82278010,2023,1,Jan,Q1,2023-01,228550.0,1.06,254731.0,30.6,83598465.0,True
2023-01-30,405,436,267776,0.2765,358,100269160,2023,1,Jan,Q1,2023-01,247578.0,1.08,280081.0,27.6,84996372.0,True
2023-02-06,366,383,359021,0.2623,312,87590670,2023,2,Feb,Q1,2023-02,239319.0,1.05,280739.0,26.2,92340062.0,True
2023-02-13,340,472,244302,0.2176,305,145672530,2023,2,Feb,Q1,2023-02,428449.0,1.39,477615.0,21.8,103952592.0,True
2023-02-20,244,262,274166,0.3238,213,66933780,2023,2,Feb,Q1,2023-02,274319.0,1.07,314243.0,32.4,100116535.0,True
2023-02-27,361,422,229282,0.2133,327,101869510,2023,2,Feb,Q1,2023-02,282187.0,1.17,311528.0,21.3,100516622.0,True
2023-03-06,332,365,364949,0.3404,291,92045960,2023,3,Mar,Q1,2023-03,277247.0,1.1,316309.0,34.0,101630445.0,True
2023-03-13,322,338,243996,0.3665,293,78003020,2023,3,Mar,Q1,2023-03,242245.0,1.05,266222.0,36.6,84713068.0,True
2023-03-20,274,312,219557,0.281,234,74603640,2023,3,Mar,Q1,2023-03,272276.0,1.14,318819.0,28.1,86630532.0,True
2023-03-27,323,351,262083,0.3653,282,92909929,2023,3,Mar,Q1,2023-03,287647.0,1.09,329468.0,36.5,84390637.0,True
2023-04-03,298,319,345240,0.3188,256,89149440,2023,4,Apr,Q2,2023-04,299159.0,1.07,348240.0,31.9,83666507.0,True
2023-04-10,323,361,264075,0.2941,271,113843500,2023,4,Apr,Q2,2023-04,352457.0,1.12,420087.0,29.4,92626627.0,True
2023-04-17,223,272,198741,0.2422,194,60071750,2023,4,Apr,Q2,2023-04,269380.0,1.22,309648.0,24.2,88993655.0,True
2023-04-24,162,183,216699,0.1605,150,59384520,2023,4,Apr,Q2,2023-04,366571.0,1.13,395897.0,16.0,80612302.0,True
2023-05-01,143,150,225648,0.1399,139,45584270,2023,5,May,Q2,2023-05,318771.0,1.05,327944.0,14.0,69721010.0,True
2023-05-08,164,202,252029,0.1341,156,60542270,2023,5,May,Q2,2023-05,369160.0,1.23,388091.0,13.4,56395702.0,True
2023-05-15,145,165,226876,0.1862,141,36760400,2023,5,May,Q2,2023-05,253520.0,1.14,260712.0,18.6,50567865.0,True
2023-05-22,188,199,294554,0.2181,171,62361480,2023,5,May,Q2,2023-05,331710.0,1.06,364687.0,21.8,51312105.0,True
2023-05-29,277,294,317596,0.3863,239,75263380,2023,5,May,Q2,2023-05,271709.0,1.06,314910.0,38.6,58731882.0,True
2023-06-05,265,288,228076,0.3283,234,87185710,2023,6,Jun,Q2,2023-06,329003.0,1.09,372589.0,32.8,65392742.0,True
2023-06-12,242,287,272964,0.3347,222,75780780,2023,6,Jun,Q2,2023-06,313144.0,1.19,341355.0,33.5,75147838.0,True
2023-06-19,276,318,289596,0.3732,243,67634760,2023,6,Jun,Q2,2023-06,245053.0,1.15,278332.0,37.3,76466158.0,True
2023-06-26,187,196,243571,0.3957,178,43655625,2023,6,Jun,Q2,2023-06,233453.0,1.05,245256.0,39.6,68564219.0,True
